python /home/drr342/dl/assignments/hw3/examples/word_language_model/main.py --data /home/drr342/dl/assignments/hw3/examples/word_language_model/data/wikitext-2 --save /home/drr342/dl/assignments/hw3/models/GRU'_'400'_'4'_'16.pt --cuda --model GRU --epochs 10 --emsize 400 --nlayers 4 --bptt 16

| epoch   4 |  2200/ 6526 batches | lr 5.00 | ms/batch 38.06 | loss  8.13 | ppl  3405.90
| epoch   4 |  2400/ 6526 batches | lr 5.00 | ms/batch 37.93 | loss  8.18 | ppl  3575.65
| epoch   4 |  2600/ 6526 batches | lr 5.00 | ms/batch 37.84 | loss  8.18 | ppl  3579.57
| epoch   4 |  2800/ 6526 batches | lr 5.00 | ms/batch 37.76 | loss  8.09 | ppl  3269.93
| epoch   4 |  3000/ 6526 batches | lr 5.00 | ms/batch 37.74 | loss  8.14 | ppl  3415.38
| epoch   4 |  3200/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.10 | ppl  3293.15
| epoch   4 |  3400/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.21 | ppl  3664.59
| epoch   4 |  3600/ 6526 batches | lr 5.00 | ms/batch 37.76 | loss  8.18 | ppl  3585.80
| epoch   4 |  3800/ 6526 batches | lr 5.00 | ms/batch 37.75 | loss  8.18 | ppl  3578.08
| epoch   4 |  4000/ 6526 batches | lr 5.00 | ms/batch 37.75 | loss  8.08 | ppl  3241.75
| epoch   4 |  4200/ 6526 batches | lr 5.00 | ms/batch 37.74 | loss  8.12 | ppl  3347.91
| epoch   4 |  4400/ 6526 batches | lr 5.00 | ms/batch 37.75 | loss  8.20 | ppl  3651.17
| epoch   4 |  4600/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.24 | ppl  3795.35
| epoch   4 |  4800/ 6526 batches | lr 5.00 | ms/batch 37.75 | loss  8.23 | ppl  3734.99
| epoch   4 |  5000/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.17 | ppl  3536.26
| epoch   4 |  5200/ 6526 batches | lr 5.00 | ms/batch 37.74 | loss  8.19 | ppl  3593.12
| epoch   4 |  5400/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.11 | ppl  3339.29
| epoch   4 |  5600/ 6526 batches | lr 5.00 | ms/batch 37.76 | loss  8.16 | ppl  3483.12
| epoch   4 |  5800/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.09 | ppl  3262.13
| epoch   4 |  6000/ 6526 batches | lr 5.00 | ms/batch 37.71 | loss  8.13 | ppl  3411.04
| epoch   4 |  6200/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.14 | ppl  3435.70
| epoch   4 |  6400/ 6526 batches | lr 5.00 | ms/batch 37.73 | loss  8.10 | ppl  3282.09
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 255.41s | valid loss  8.21 | valid ppl  3668.86
-----------------------------------------------------------------------------------------
| epoch   5 |   200/ 6526 batches | lr 5.00 | ms/batch 37.04 | loss  8.04 | ppl  3101.24
| epoch   5 |   400/ 6526 batches | lr 5.00 | ms/batch 36.88 | loss  8.10 | ppl  3279.03
| epoch   5 |   600/ 6526 batches | lr 5.00 | ms/batch 36.83 | loss  8.10 | ppl  3281.91
| epoch   5 |   800/ 6526 batches | lr 5.00 | ms/batch 36.83 | loss  8.18 | ppl  3560.40
| epoch   5 |  1000/ 6526 batches | lr 5.00 | ms/batch 36.84 | loss  8.10 | ppl  3306.03
| epoch   5 |  1200/ 6526 batches | lr 5.00 | ms/batch 36.84 | loss  8.14 | ppl  3431.39
| epoch   5 |  1400/ 6526 batches | lr 5.00 | ms/batch 36.88 | loss  8.10 | ppl  3288.80
| epoch   5 |  1600/ 6526 batches | lr 5.00 | ms/batch 36.88 | loss  8.12 | ppl  3363.64
| epoch   5 |  1800/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.18 | ppl  3580.64
| epoch   5 |  2000/ 6526 batches | lr 5.00 | ms/batch 36.85 | loss  8.12 | ppl  3353.26
| epoch   5 |  2200/ 6526 batches | lr 5.00 | ms/batch 36.83 | loss  8.21 | ppl  3687.82
| epoch   5 |  2400/ 6526 batches | lr 5.00 | ms/batch 36.83 | loss  8.16 | ppl  3506.98
| epoch   5 |  2600/ 6526 batches | lr 5.00 | ms/batch 36.85 | loss  8.11 | ppl  3312.59
| epoch   5 |  2800/ 6526 batches | lr 5.00 | ms/batch 36.86 | loss  8.05 | ppl  3145.72
| epoch   5 |  3000/ 6526 batches | lr 5.00 | ms/batch 36.84 | loss  8.09 | ppl  3253.06
| epoch   5 |  3200/ 6526 batches | lr 5.00 | ms/batch 36.83 | loss  8.16 | ppl  3495.47
| epoch   5 |  3400/ 6526 batches | lr 5.00 | ms/batch 36.84 | loss  8.18 | ppl  3573.07
| epoch   5 |  3600/ 6526 batches | lr 5.00 | ms/batch 36.86 | loss  8.16 | ppl  3506.22
| epoch   5 |  3800/ 6526 batches | lr 5.00 | ms/batch 36.85 | loss  8.21 | ppl  3686.35
| epoch   5 |  4000/ 6526 batches | lr 5.00 | ms/batch 36.84 | loss  8.07 | ppl  3207.98
| epoch   5 |  4200/ 6526 batches | lr 5.00 | ms/batch 36.85 | loss  8.01 | ppl  3017.84
| epoch   5 |  4400/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.13 | ppl  3409.33
| epoch   5 |  4600/ 6526 batches | lr 5.00 | ms/batch 36.83 | loss  8.11 | ppl  3334.11
| epoch   5 |  4800/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.12 | ppl  3367.96
| epoch   5 |  5000/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.07 | ppl  3211.57
| epoch   5 |  5200/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.14 | ppl  3436.41
| epoch   5 |  5400/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.06 | ppl  3151.46
| epoch   5 |  5600/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.15 | ppl  3468.45
| epoch   5 |  5800/ 6526 batches | lr 5.00 | ms/batch 36.80 | loss  8.09 | ppl  3265.80
| epoch   5 |  6000/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.12 | ppl  3376.07
| epoch   5 |  6200/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.13 | ppl  3403.13
| epoch   5 |  6400/ 6526 batches | lr 5.00 | ms/batch 36.82 | loss  8.01 | ppl  3005.00
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 248.65s | valid loss  7.79 | valid ppl  2409.66
-----------------------------------------------------------------------------------------
| epoch   6 |   200/ 6526 batches | lr 5.00 | ms/batch 37.76 | loss  8.05 | ppl  3148.58
